numero_ed;libelle_ed;sigle_ed;discipline_principale;etablissement_support;etablissements_coaccredites;etablissements_associes;disciplines_secondaires;annee_de_creation;annee_d_accreditation;duree_d_accreditation;academie;region;departement;commune;nom_laboratoires;telephone;site_web;adresse_postale;email;coordonnees_geographiques;toutes_disciplines;tous_etablissements;code_etablissement_support;code_commune;code_unite_urbaine;code_departement;code_academie;code_region;code_etablissements_associes;prenom_responsable_ed;nom_responsable_ed;code_etablissements_coaccredites;civilite;unite_urbaine_ou_commune_rurale;code_toutes_disc;code_disc_pr;code_disc_sec;id_tous_etablissements;code_tous_etablissements;id_etablissement_support;id_etablissements_coaccredites;id_etablissements_associes;identifiant_laboratoires;id_ed;;coordonnees_geographiques;;;latitude;long;;coordonnees_geographiques;
615;êcole doctorale Sciences Biologiques et SantÇ;SBS;Biologie, mÇdecine et santÇ;UniversitÇ de Limoges;UniversitÇ de Poitiers;;;2018;2018;5;Limoges;Nouvelle-Aquitaine;Haute-Vienne;Limoges;"NEUVACOD UnitÇ neurovasculaire et troubles cognitifs;CAPTUR Contrìle de l?Activation Cellulaire, Progression Tumorale et RÇsistance ThÇrapeutique;LITEC Laboratoire Inflammation, Tissus EpithÇliaux et Cytokines;IPPRIT Ciblage individuel et prÇvention des risques en transplantation;CIC Centre d?Investigation Clinique Poitiers;PHAR Pharmacologie des anti-infectieux;IRTOMIT IschÇmie Reperfusion en Transplantation d?Organes MÇcanismes et Innovations ThÇrapeutiques;LNEC Laboratoire de Neurosciences ExpÇrimentales et Cliniques;RESINFIT Anti-infectieux : supports molÇculaires des rÇsistances et innovations thÇrapeutiques;NET NeuroÇpidÇmiologie Tropicale;CRIBL Contrìle de la RÇponse Immune B et LymphoprolifÇrations;HAVAE Handicap, ActivitÇ, Vieillissement, Autonomie, Environnement;MMNP Maintenance MyÇlinique et Neuropathies PÇriphÇriques;MOVE MobilitÇ Vieillissement et Exercice;STIM Signalisation et Transports Ioniques Membranaires;PEIRENE";;http://www.u-ldevinci.fr/sbs/;Colläge Doctoral de l'UniversitÇ de Limoges ,, 33 rue Franáois Mitterrand, BP 23204, 87100 LIMOGES;ed-sbs@univ-poitiers.fr;45.82638, 1.258518;Biologie, mÇdecine et santÇ;"UniversitÇ de Limoges;UniversitÇ de Poitiers";0870669E;87085;UU87601;D087;A22;R75;;Bertrand;Courtioux;0860856N;Monsieur;Limoges;5;5;;"nkbwh;hlX1r";"0870669E;0860856N";nkbwh;hlX1r;;"200415068R;200415102C;200815560H;200816497B;200818006S;201220154J;201220164V;201220166X;201220172D;201220173E;201220214Z;201220217C;201220218D;201220296N;201420820Z;201822722Z";TNa15;;45.82638, 1.258518;;;;;;45.82638; 1.258518
622;êcole doctorale Sciences du langage;SDL;Sciences humaines et humanitÇs;UniversitÇ de Paris;UniversitÇ Sorbonne Nouvelle - Paris 3;;;2019;2019;5;Paris;◊le-de-France;Paris;Paris  6e;"CEAO Centre des Etudes Arabes et Orientales;HTL Histoire des Theories Linguistiques;DILTEC Didactique des Langues, des Textes et des Cultures;LATTiCe Langues, textes, traitements informatiques, cognition;LPP Laboratoire de PhonÇtique et Phonologie;LACITO Laboratoire de Langues & Civilisations Ö Tradition Orale;CLESTHIA Langage, systemes, discours";;http://ed132.ed.univ-paris-diderot.fr;UniversitÇ de Paris,, 85 bd St Germain, 75006 PARIS CEDEX 13;ed622@u-paris.fr;48.854293, 2.333788;Sciences humaines et humanitÇs;"UniversitÇ de Paris;UniversitÇ Sorbonne Nouvelle - Paris 3";0755976N;75106;UU00851;D075;A01;R11;;Ioana;Chitoran;0751719L;Madame;Paris;6;6;;"5cZyU;8k883";"0755976N;0751719L";5cZyU;8k883;;"199213567L;199712643K;199713841M;200012753S;200112425F;200112494F;201420899K";9DsG2;;48.854293, 2.333788;;;;;;48.854293; 2.333788
624;êcole doctorale Sciences des SociÇtÇs;SDS;Sciences de la sociÇtÇ;UniversitÇ de Paris;;;;2019;2019;5;Paris;◊le-de-France;Paris;Paris 13e;"ICT IdentitÇs Cultures Territoires;LADYSS Laboratoire dynamiques sociales et recomposition des espaces;PRODIG Pìle de Recherche pour l?Organisation et la Diffusion de l?Information GÇographique;CERLIS Centre de recherche sur les liens sociaux;Cermes3 Centre de recherche mÇdecine, sciences, santÇ, santÇ mentale, sociÇtÇ;CEPED Centre Population et dÇveloppement;URMIS Migations et SoCiÇtÇs;CANTHEL Centre d'anthropologie culturelle;ANHIMA Anthropologie et Histoire des Mondes Antiques;LIED Laboratoire Interdisciplinaire des Energies de Demain;CESSMA Centre d?Çtudes en sciences sociales sur les mondes africains, amÇricains et asiatiques;EVCAU Espace Virtuel de Conception Architecturale et Urbain;PHILÇPOL Centre de philosophie, d?ÇpistÇmologie et politique;LCSP Laboratoire de Changement Social et Politique;GÇographie-citÇs";;http://ed382.ed.univ-paris-diderot.fr/;UniversitÇ de Paris, ED 624 Case Courrier 7001, Place Paul Ricoeur, 75205 PARIS cedex 13;ed624.sds@u-paris.fr;48.854293, 2.333788;Sciences de la sociÇtÇ;UniversitÇ de Paris;0755976N;75113;UU00851;D075;A01;R11;;"Laurence;Patrick";"Simmat-Durand;Farges";;Monsieur;Paris;7;7;;5cZyU;0755976N;5cZyU;;;"199213067T;199712591D;199812914A;200212732K;200217606H;200817718D;200919202M;201019059C;201019112K;201320733J;201420722T;201722590K;201922971R;201420721S;199812840V";cGIjW;;48.854293, 2.333788;;;;;;48.854293; 2.333788
631;êcole doctorale Mathematiques, sciences du numerique et de leurs interactions;MADIS;MathÇmatiques et leurs interactions;UniversitÇ de Lille;"Centrale Lille Institut (CLI);Institut Mines-TÇlÇcom (IMT);UniversitÇ Gustave Eiffel";;Sciences et technologies de l'information et de la communication;2021;2021;5;Lille;Hauts-de-France;Nord;Villeneuve-d'Ascq;"Laboratoire PainlevÇ - UMR 8524;CRISTAL - Centre de Recherche en Informatique, Signal et Automatique de Lille - UMR CNRS 9189;INRIA Lille-Nord Europe;GEMTEX - Laboratoire de GÇnie des MatÇriaux Textiles - EA 2461;CERI SN Centre d'Enseignement de Recherche et d'Innovation Systämes NumÇriques;COSYS-ESTAS et COSYS-LEOST";03 20 43 65 19;https://edmadis.univ-lille.fr/;EcoleˇDoctoraleˇMADIS 631, CitÇ Scientifique -ˇBÉt. P3 (bureaux 104-106), F 59655 Villeneuve d'Ascq cedex;"sec-edmadis@univ-lillefr;dir-edmadis@univ-lillefr";50.60815287025452, 3.140720763768654;"MathÇmatiques et leurs interactions;Sciences et technologies de l'information et de la communication";"UniversitÇ de Lille;Centrale Lille Institut (CLI);Institut Mines-TÇlÇcom (IMT);UniversitÇ Gustave Eiffel";0597239Y;59009;UU59702;D059;A09;R32;;Ludovic;Macaire;"0590349J;0755661W;0772894C";Monsieur;Lille;"1;9";1;9;"U8a0v;54VTe;6Th4v;3Z5e6";"0597239Y;0597139P;0912424R;0772894C";U8a0v;"54VTe;6Th4v;3Z5e6";;"199812852H;201521249L;200818245B;199221872N;201923317S;201320680B";OImap;;50.60815287025452, 3.140720763768654;;;;;;50.60815287025452; 3.140720763768654
634;êcole doctorale Sciences, IngÇnierie, Environnement;SIE;Chimie;UniversitÇ Savoie Mont Blanc;;;"Biologie, mÇdecine et santÇ;Sciences pour l'ingÇnieur;Sciences agronomiques et Çcologiques";2021;2021;6;Grenoble;Auvergne-Rhìne-Alpes;Savoie;ChambÇry;"CARRTEL Centre Alpin de Recherche sur les RÇseaux Trophiques des Ecosystämes limniques;EDYTEM Environnements, DYnamiques et TErritoires de la Montagne;LISTIC Laboratoire d'Informatique, Systämes, Traitement de l'Information et de la Connaissance - EA 3703;LOCIE Laboratoire d'Optimisation de la Conception et IngÇnierie de l'Environnement;LIBM Laboratoire Interuniversitaire de biologie de la MotricitÇ;SYMME laboratoire SYstämes et MatÇriaux pour la MEcatronique";04 79 75 91 51;https://www.univ-smb.fr/recherche/formation-doctorale/ecole-doctorale-siseo/;ED SIE ? UniversitÇ SavoieˇMont Blanc, 27 rue Marcoz, BP 1104, 73011 CHAMBêRY CEDEX;gestionnaire-edsie.ddrv@univ-smb.fr;45.56688756626069, 5.9175434830526745;"Chimie;Biologie, mÇdecine et santÇ;Sciences pour l'ingÇnieur;Sciences agronomiques et Çcologiques";UniversitÇ Savoie Mont Blanc;0730858L;73065;UU73601;D073;A08;R84;;Jean-Christophe;ClÇment;;Monsieur;ChambÇry;"4;5;8;10";4;"5;8;10";zCa4j;0730858L;zCa4j;;;"196417921R;200511874P;200314973S;201119412G;201622148J;200715388A;";TOc8f;;45.56688756626069, 5.9175434830526745;;;;;;45.56688756626069; 5.9175434830526745
8;êcole doctorale Histoire du droit, philosophie du droit et sociologie du droit;;Sciences de la sociÇtÇ;UniversitÇ PanthÇon-Assas;;;;1992;2019;5;Paris;◊le-de-France;Paris;Paris  5e;"INSTITUT MICHEL VILLEY POUR LA CULTURE JURIDIQUE ET LA PHILOSOPHIE DU DROIT;LABORATOIRE DE SOCIOLOGIE JURIDIQUE;Institut d'histoire du droit";;https://www.u-paris2.fr/fr/ecole-doctorale/ecole-doctorale-dhistoire-du-droit-philosophie-du-droit-et-sociologie-du-droit-ed-8;UniversitÇ PARIS 2, ED n¯8, 12 Place PanthÇon, 75231 PARIS CEDEX 05;secretariat-ecoles-doctorales@u-paris2.fr;48.8468, 2.34488;Sciences de la sociÇtÇ;UniversitÇ PanthÇon-Assas;0751718K;75105;UU00851;D075;A01;R11;;Sophie;Demare-Lafont;;Madame;Paris;7;7;;TWBzp;0751718K;TWBzp;;;"199914437B;200114658H;200918486J";pGSed;;48.8468, 2.34488;;;;;;48.8468; 2.34488
22;êcole doctorale Mondes anciens et mÇdiÇvaux;;Sciences humaines et humanitÇs;Sorbonne UniversitÇ;;;;1992;2019;5;Paris;◊le-de-France;Paris;Paris  6e;"Edition, Interpretation et traduction des textes anciens;Centre Roland Mousnier;CENTRE D'ETUDES MEDIEVALES ANGLAISES;LINGUISTIQUE ET LEXICOGRAPHIE LATINES ET ROMANES;Rome et ses renaisances : arts, archeologie, litterature et philosophie;ETUDE ET EDITION DE TEXTES MEDIEVAUX";;http://lettres.sorbonne-universite.fr/la-recherche/les-ecoles-doctorales/ed-1-mondes-anciens-et-medievaux/onglet-1-3220/;Universite Paris IV Sorbonne, 28, rue Serpente, 75006 PARIS;;48.851304, 2.340246;Sciences humaines et humanitÇs;Sorbonne UniversitÇ;0755890V;75106;UU00851;D075;A01;R11;;Jean-Marie;Salamito;;Monsieur;Paris;6;6;;bxPQe;0755890V;bxPQe;;;"199213479R;199812924L;199814084X;200615326M;200615327N;200815577B";fqCbl;;48.851304, 2.340246;;;;;;48.851304; 2.340246
37;êcole doctorale Sciences physiques pour l'ingÇnieur et microtechniques;SPIM;Sciences pour l'ingÇnieur;UniversitÇ Bourgogne - Franche-ComtÇ;;;;1991;2017;6;Besanáon;Bourgogne-Franche-ComtÇ;Doubs;Besanáon;"DEPARTEMENT DE RECHERCHE EN INGENIERIE  DES VEHICULES POUR L'ENVIRONNEMENT - EA 1859;INSTITUT FRANCHE-COMTE ELECTRONIQUE MECANIQUE THERMIQUE ET OPTIQUE - SCIENCES ET TECHNOLOGIES;LABORATOIRE DE NANOMEDECINE, IMAGERIE, THERAPEUTIQUE;INSTITUT DE RECHERCHE SUR LES TRANSPORTS, L'ENERGIE ET LA SOCIETE;Connaissance et Intelligence Artificielle Distribuees - UMR 7533;Imagerie et Vision Artificielle - EA 7535;Laboratoire d'Informatique de Bourgogne - EA 7534";;http://ed-spim.univ-fcomte.fr;Univ. Bourgogne Franche-ComtÇ, 32 avenue de l'Observatoire, 25000 BESANÄON;ed-spim@univ-fcomte.fr;47.248103, 5.991326;Sciences pour l'ingÇnieur;UniversitÇ Bourgogne - Franche-ComtÇ;0251985X;25056;UU25601;D025;A03;R27;;ThÇräse;Leblois;;Madame;Besanáon;8;8;;8A0mg;0251985X;8A0mg;;;"199513612X;200412232H;201220085J;201221518S;201922940G;201922941H;201922942J";F7G1B;;47.248103, 5.991326;;;;;;47.248103; 5.991326
50;êcole doctorale Langues, littÇratures et sciences humaines;LLSH;Sciences humaines et humanitÇs;UniversitÇ Grenoble Alpes;UniversitÇ Savoie Mont Blanc;;;1991;2016;5;Grenoble;Auvergne-Rhìne-Alpes;Isäre;Saint-Martin-d'Häres;"GROUPE DE RECHERCHE SUR LES ENJEUX DE LA COMMUNICATION;LINGUISTIQUE ET DIDACTIQUE DES LANGUES ETRANGERES ET MATERNELLES;LANGAGES, LITTERATURES, SOCIETES. ETUDES TRANSFRONTALIERES ET INTERNATIONALES;Grenoble Images Parole Signal Automatique;INSTITUT DES LANGUES ET CULTURES D'EUROPE, AMERIQUE, AFRIQUE, ASIE ET AUSTRALIE;Laboratoire universitaire Histoire Cultures Italie Europe";;http://ecoledoctorale-llsh.univ-grenoble-alpes.fr/;CommunautÇ UniversitÇ Grenoble A  Colläge Doctoral Domaine Universitaire, 701 rue de la Piscine, 38400 SAINT-MARTIN-D'H‘RES;ed-llsh@univ-grenoble-alpes.fr;45.192363, 5.756681;Sciences humaines et humanitÇs;"UniversitÇ Grenoble Alpes;UniversitÇ Savoie Mont Blanc";0383412C;38421;UU38701;D038;A08;R84;;Marinette;Matthey;0730858L;Madame;Grenoble;6;6;;"Y7ch7;zCa4j";"0383412C;0730858L";Y7ch7;zCa4j;;"199113163B;199113164C;200314976V;200711885T;201521274N;201622165C";8THzQ;;45.192363, 5.756681;;;;;;45.192363; 5.756681
130;êcole doctorale Informatique, tÇlÇcommunications et Çlectronique de Paris;EDITE;Sciences et technologies de l'information et de la communication;Sorbonne UniversitÇ;UniversitÇ de Paris;;;1992;2019;5;Paris;◊le-de-France;Paris;Paris  5e;"Laboratoire d'informatique de Paris 6;Laboratoire Genie electrique et electronique de Paris;Observatoire de Paris;CENTRE D'ETUDES ET DE RECHERCHE EN INFORMATIQUE ET COMMUNICATIONS";;http://edite-de-paris.fr/spip/;UniversitÇ Pierre et Marie Curie  Maison de la pÇdagogie  2äme Çtage, bureau A201-case 168, 4 place Jussieu, 75252 PARIS CEDEX 05;secretariat@edite-de-paris.fr;48.851304, 2.340246;Sciences et technologies de l'information et de la communication;"Sorbonne UniversitÇ;UniversitÇ de Paris";0755890V;75105;UU00851;D075;A01;R11;;Habib;Mehrez;0755976N;Monsieur;Paris;9;9;;"bxPQe;5cZyU";"0755890V;0755976N";bxPQe;5cZyU;;"199712651U;199812843Y;200610854B;201119480F";O5ysj;;48.851304, 2.340246;;;;;;48.851304; 2.340246
138;êcole doctorale Lettres, langues, spectacles;LLS;Sciences humaines et humanitÇs;UniversitÇ Paris Nanterre;;;;1992;2020;5;Versailles;◊le-de-France;Hauts-de-Seine;Nanterre;"ETUDES ROMANES;CENTRE DE RECHERCHES ANGLOPHONES;CENTRE DES SCIENCES DES LITTERATURES EN LANGUE FRANCAISE;CENTRE DE RECHERCHES EN LITTERATURE ET POETIQUE COMPAREES;CENTRE D'ETUDES ET DE RECHERCHES SUR L'ESPACE GERMANOPHONE;CENTRE DE RECHERCHES PLURIDISCIPLINAIRES MULTILINGUES;HISTOIRE DES ARTS ET DES REPRESENTATIONS";;https://ed-lls.u-paris10.fr/;UniversitÇ Paris Ouest  Ecole doctorale LLS  BÉt A, bureau 308 et 306, 200 avenue de la RÇpublique, 92001 NANTERRE CEDEX;ed138lls@liste.parisnanterre.fr;48.9035, 2.21448;Sciences humaines et humanitÇs;UniversitÇ Paris Nanterre;0921204J;92050;UU00851;D092;A25;R11;;Silvia;Contarini;;Madame;Paris;6;6;;g6rwB;0921204J;g6rwB;;;"199213080G;199213081H;199213515E;200515189T;200715461E;200918474W;200918484G";y9O3k;;48.9035, 2.21448;;;;;;48.9035; 2.21448
154;êcole doctorale Sciences de la vie et de la santÇ;SVS;Biologie, mÇdecine et santÇ;UniversitÇ de Bordeaux;;"êcole nationale supÇrieure des sciences agronomiques de Bordeaux Aquitaine;Bordeaux INP";;1993;2016;5;Bordeaux;Nouvelle-Aquitaine;Gironde;Bordeaux;"Laboratoire Bordelais de Recherche en Informatique;CENTRE DE RESONANCE MAGNETIQUE DES SYSTEMES BIOLOGIQUES;CENTRE D'ETUDES NUCLEAIRES DE BORDEAUX GRADIGNAN;INSTITUT DE BIOCHIMIE ET GENETIQUE CELLULAIRES;Immunologie Conceptuelle, Experimentale et Translationnelle;INFECTIONS HUMAINES A MYCOPLASMES ET A CHLAMYDIAE;Laboratoire de biogenese membranaire;LABORATOIRE D'INTEGRATION DU MATERIAU AU SYSTEME;MICROBIOLOGIE FONDAMENTALE ET PATHOGENICITE;INSTITUT DE CHIMIE ET DE BIOLOGIE DES MEMBRANES ET DES NANOOBJETS;HANDICAP ACTIVITE COGNITION SANTE;INSTITUT DE NEUROSCIENCES COGNITIVES ET INTEGRATIVES D'AQUITAINE;INSTITUT INTERDISCIPLINAIRE DE NEUROSCIENCES;Sommeil, Addiction et Neuropsychiatrie;Imagerie Moleculaire et Therapies Innovantes en Oncologie";;http://www.edsvs.u-bordeaux2.fr;UFR Pharmacie - EntrÇe D  1er Çtage, 146 rue LÇo Saignat, 33076 BORDEAUX;ed-svs@u-bordeaux.fr;44.8371, -0.578024;Biologie, mÇdecine et santÇ;"UniversitÇ de Bordeaux;êcole nationale supÇrieure des sciences agronomiques de Bordeaux Aquitaine;Bordeaux INP";0333298F;33063;UU33701;D033;A04;R75;"0330203S;0333232J";Martin;Teichmann;;Monsieur;Bordeaux;5;5;;"90I54;lfdJH;S88MV";"0333298F;0330203S;0333232J";90I54;;"lfdJH;S88MV";"199511665F;199511980Y;199512079F;199911781P;200311838J;200314943J;200511663K;200711887V;200711901K;200711913Y;200715380S;201119416L;201119452A;201119462L;201622172K";hLn36;;44.8371, -0.578024;;;;;;44.8371; -0.578024
158;êcole doctorale Cerveau, cognition, comportement;3C;Biologie, mÇdecine et santÇ;Sorbonne UniversitÇ;"êcole des hautes Çtudes en sciences sociales;UniversitÇ de Paris;UniversitÇ Paris sciences et lettres";;;1992;2019;5;Paris;◊le-de-France;Paris;Paris  5e;"Sciences et Technologies de la Musique et du Son;Centre d'analyses et de mathematiques sociales;Physiologie cerebrale;Centre de neurophysique, physiologie, pathologie;Institut Jean-Nicod;Cognition and Action Group";;http://ed3c.upmc.fr/;UPMC - ED3C Batiment B - 7eme etage Case 25, 9 quai Saint Bernard, 75005 PARIS;ed3c@snv.jussieu.fr;48.851304, 2.340246;Biologie, mÇdecine et santÇ;"Sorbonne UniversitÇ;êcole des hautes Çtudes en sciences sociales;UniversitÇ de Paris;UniversitÇ Paris sciences et lettres";0755890V;75105;UU00851;D075;A01;R11;;Alain;Trembleau;"0753742K;0755976N;0756036D";Monsieur;Paris;5;5;;"bxPQe;y52D7;5cZyU;PpsCQ";"0755890V;0753742K;0755976N;0756036D";bxPQe;"y52D7;5cZyU;PpsCQ";;"198319352N;199812885U;200212774F;200212775G;200212785T;201420757F";Il62F;;48.851304, 2.340246;;;;;;48.851304; 2.340246
160;êcole doctorale êlectronique, Çlectrotechnique, automatique;EEA;Sciences pour l'ingÇnieur;UniversitÇ de Lyon;;;;1993;2016;5;Lyon;Auvergne-Rhìne-Alpes;Rhìne;êcully;"LABORATOIRE VIBRATIONS ACOUSTIQUES;LABORATOIRE DE GENIE ELECTRIQUE ET FERROELECTRICITE;Laboratoire Ampere;LABORATOIRE D'AUTOMATIQUE, DE GENIE DES PROCEDES ET DE GENIE PHARMACEUTIQUE;CENTRE D'INNOVATION EN TELECOMMUNICATIONS ET INTEGRATION DE SERVICES;INSTITUT DES NANOTECHNOLOGIES DE LYON;Institut des Sciences Analytiques";;http://edeea.ec-lyon.fr/;BÉtiment H9 DÇpartement EEA  Ecole Centrale de Lyon, 36 avenue Guy de Collongue, 69134 ECULLY CEDEX;ecole-doctorale.eea@ec-lyon.fr;45.748414, 4.836668;Sciences pour l'ingÇnieur;UniversitÇ de Lyon;0694094A;69081;UU00760;D069;A10;R84;;GÇrard;Scorletti;;Monsieur;Lyon;8;8;;iq0rG;0694094A;iq0rG;;;"199113194K;199113195L;199911701C;199911703E;200314989J;200711932U;201119453B";EgfMQ;;45.748414, 4.836668;;;;;;45.748414; 4.836668
162;êcole doctorale MÇcanique, ÇnergÇtique, gÇnie civil, acoustique;MEGA;Sciences pour l'ingÇnieur;UniversitÇ de Lyon;;;;1993;2016;5;Lyon;Auvergne-Rhìne-Alpes;Rhìne;Villeurbanne;"Materiaux : Ingenierie et Science;LABORATOIRE VIBRATIONS ACOUSTIQUES;LABORATOIRE DE GENIE ELECTRIQUE ET FERROELECTRICITE;LABORATOIRE DE MECANIQUE DES FLUIDES ET D'ACOUSTIQUE;CENTRE D' ENERGETIQUE ET DE THERMIQUE DE LYON;LABORATOIRE DE MECANIQUE DES CONTACTS ET DES STRUCTURES;LABORATOIRE DE BIOMECANIQUE ET MECANIQUE DES CHOCS;LABORATOIRE APPLICATIONS THERAPEUTIQUES DES ULTRASONS;PHYSIOPATHOLOGIE, DIAGNOSTIC ET TRAITEMENTS DES MALADIES OSSEUSES;UPSP Interactions Cellules Environnement;LABORATOIRE DES MATERIAUX COMPOSITES POUR LA CONSTRUCTION";;http://edmega.universite-lyon.fr/;INSA Lyon  ED MEGA & MATERIAUX  Campus LyonTech-La Doua  BÉt Direction ® 1er Etage, 37 avenue Jean Capelle, 69621 VILLEURBANNE CEDEX;mega@insa-lyon.fr;45.748414, 4.836668;Sciences pour l'ingÇnieur;UniversitÇ de Lyon;0694094A;69266;UU00760;D069;A10;R84;;Jocelyn;Bonjour;;Monsieur;Lyon;8;8;;iq0rG;0694094A;iq0rG;;;"197311954R;199113194K;199113195L;199511953U;199911704F;200711924K;200717404S;201119404Y;201119460J;201120646Y;201622548U";7wCke;;45.748414, 4.836668;;;;;;45.748414; 4.836668
171;êcole doctorale Toulouse sciences Çconomiques;TSE;Sciences de la sociÇtÇ;UniversitÇ Toulouse Capitole;;;;1993;2016;5;Toulouse;Occitanie;Haute-Garonne;Toulouse;TSE Recherche;;https://www.tse-fr.eu/fr/programme-doctoral;Toulouse Sciences Economiques  UniversitÇ Toulouse 1 Capitole, 2, rue du Doyen Gabriel Marty, 31042 TOULOUSE CEDEX 9;phd.tse@ut-capitole.fr;43.6063, 1.43552;Sciences de la sociÇtÇ;UniversitÇ Toulouse Capitole;0311382J;31555;UU00758;D031;A16;R76;;Nour;Meddahi;;Monsieur;Toulouse;7;7;;542Id;0311382J;542Id;;;201621876N;Q5nNQ;;43.6063, 1.43552;;;;;;43.6063; 1.43552
184;êcole doctorale MathÇmatiques et informatique de Marseille;;MathÇmatiques et leurs interactions;Aix-Marseille UniversitÇ;Centrale Marseille;UniversitÇ de Toulon;;1994;2018;5;Aix-Marseille;Provence-Alpes-Cìte d'Azur;Bouches-du-Rhìne;Marseille 13e;"INSTITUT DE MATHEMATIQUES DE LUMINY;Laboratoire d'informatique Fondamentale de Marseille;LABORATOIRE D'ANALYSE, TOPOLOGIE, PROBABILITES;Laboratoire Parole et Langage;Laboratoire des Sciences de l'Information et des Systemes;Centre de Recherche de l'Ecole de l'Air";;http://www.cmi.univ-mrs.fr/ecole-doctorale;Ecole Doctorale de MathÇmatiques   et Informatique de Marseille  CMI, 39, rue F. Joliot Curie, 13453 MARSEILLE CEDEX 13;direction-ed184@lis-lab.fr;43.2936, 5.35871;MathÇmatiques et leurs interactions;"Aix-Marseille UniversitÇ;Centrale Marseille;UniversitÇ de Toulon";0134009M;13213;UU00759;D013;A02;R93;0830766G;Nadia;Creignou;0133774G;Madame;Marseille-Aix-en-Provence;1;1;;"xJdyB;1tI7C;C701f";"0134009M;0133774G;0830766G";xJdyB;1tI7C;C701f;"201220249M;201220259Y;201220271L;201220301U;201220329Z;202023570M";DDObG;;43.2936, 5.35871;;;;;;43.2936; 5.35871
209;êcole doctorale Sciences physiques et de L'ingÇnieur;SPI;Sciences pour l'ingÇnieur;UniversitÇ de Bordeaux;;"êcole nationale supÇrieure d'architecture et de paysage de Bordeaux (ENSAPBx);Bordeaux INP";Physique;1995;2016;5;Bordeaux;Nouvelle-Aquitaine;Gironde;Talence;"Groupe de Recherche Environnement, Confort, Conception Architecturale et Urbaine;CENTRE D'ETUDES NUCLEAIRES DE BORDEAUX GRADIGNAN;LABORATOIRE ONDES ET MATIERE D'AQUITAINE;LABORATOIRE DES COMPOSITES THERMOSTRUCTURAUX;Laboratoire d'astrophysique de Bordeaux;CENTRE LASERS INTENSES ET APPLICATIONS;Centre de recherche sur l'heteroepitaxie et ses applications;LABORATOIRE D'INTEGRATION DU MATERIAU AU SYSTEME;INSTITUT DE CHIMIE ET DE BIOLOGIE DES MEMBRANES ET DES NANOOBJETS;LABORATOIRE DU FUTUR;ESTIA-Recherche;UMR 5319 PASSAGES";;https://ed-spi.u-bordeaux.fr/;UniversitÇ de Bordeaux - BÉt A1 (rdc), 351 cours de la LibÇration, 33405 TALENCE;edoc.spi@u-bordeaux.fr;44.8371, -0.578024;"Sciences pour l'ingÇnieur;Physique";"UniversitÇ de Bordeaux;êcole nationale supÇrieure d'architecture et de paysage de Bordeaux (ENSAPBx);Bordeaux INP";0333298F;33522;UU33701;D033;A04;R75;"0330199M;0333232J";Franck;Gobet;;Monsieur;Bordeaux;"8;2";8;2;"90I54;XZQGs;S88MV";"0333298F;0330199M;0333232J";90I54;;"XZQGs;S88MV";"198620670H;199512079F;199512080G;199512081H;199712084C;199911792B;200017509L;200711887V;200711913Y;200711923J;201420655V;201622032H";tZcIZ;;44.8371, -0.578024;;;;;;44.8371; -0.578024
218;êcole doctorale Chimie et sciences du vivant;EDCSV;Biologie, mÇdecine et santÇ;UniversitÇ Grenoble Alpes;Institut polytechnique de Grenoble;;;1995;2016;5;Grenoble;Auvergne-Rhìne-Alpes;Isäre;Saint-Martin-d'Häres;"CENTRE DE RECHERCHES SUR LES MACROMOLECULES VEGETALES;Techniques de l'Ingenierie Medicale et de la Complexite - Informatique, Mathematiques et Applications, Grenoble;LABORATOIRE D'ECOLOGIE ALPINE;Systemes Moleculaires et nano Materiaux pour l'Energie et la Sante;DEPARTEMENT DE PHARMACOCHIMIE MOLECULAIRE;INSTITUT DE BIOLOGIE STRUCTURALE;LABORATOIRE DE PHYSIOLOGIE CELLULAIRE ET VEGETALE;LABORATOIRE DE CHIMIE ET BIOLOGIE DES METAUX;DEPARTEMENT DE CHIMIE MOLECULAIRE;GRENOBLE INSTITUT DES NEUROSCIENCES (GIN);Institut Neel;LABORATOIRE NATIONAL DES CHAMPS MAGNETIQUES INTENSES;HYPOXIE : PHYSIOPATHOLOGIE CARDIOVASCULAIRE ET RESPIRATOIRE;LABORATOIRE DE BIOENERGETIQUE FONDAMENTALE ET APPLIQUEE (LBFA);BIOLOGIE DU CANCER ET DE L'INFECTION : DES MECANISMES MOLECULAIRES AUX APPLICATIONS TECHNOLOGIQUES;BIOLOGIE A GRANDE ECHELLE;Laboratoire Interdisciplinaire de Physique;Institut pour l'Avancee des Biosciences";;http://edcsv.ujf-grenoble.fr;BÉtiment Pluriel B009, 701 rue de la Piscine, 38400 ST MARTIN D'HERES;ed-csv@univ-grenoble-alpes.fr;45.192363, 5.756681;Biologie, mÇdecine et santÇ;"UniversitÇ Grenoble Alpes;Institut polytechnique de Grenoble";0383412C;38421;UU38701;D038;A08;R84;;Guy;Royal;0381912X;Monsieur;Grenoble;5;5;;"Y7ch7;2ALYK";"0383412C;0381912X";Y7ch7;2ALYK;;"196617508H;199511969L;199511994N;199712093M;199911754K;199911764W;200317477N;200711914Z;200711915A;200716488W;200717524X;200919895R;201119418N;201119430B;201119439L;201119446U;201122569N;201622378J";8bcJh;;45.192363, 5.756681;;;;;;45.192363; 5.756681
